p,nu,l_ks,l_bs,k,N,n,b_ks,b_bs,sigma_lwe,sigma_glwe,timing,p_error
3,5,4,1,2,1024,691,8,1048576,2.7896785929189782e-05,7.960748684300802e-16,0,2.938735877055719e-39
3,10,4,1,2,1024,691,8,2097152,2.7896785929189782e-05,7.960748684300802e-16,0,2.938735877055719e-39
3,16,4,1,2,1024,688,8,2097152,2.9435115211430855e-05,7.960748684300802e-16,0,2.938735877055719e-39
3,20,4,1,2,1024,691,8,134217728,2.7896785929189782e-05,7.960748684300802e-16,0,2.938735877055719e-39
3,25,4,1,2,1024,689,8,134217728,2.89131371709251e-05,7.960748684300802e-16,0,2.938735877055719e-39
3,31,4,1,2,1024,688,8,4194304,2.9435115211430855e-05,7.960748684300802e-16,0,2.938735877055719e-39
3,35,4,1,2,1024,691,8,67108864,2.7896785929189782e-05,7.960748684300802e-16,0,2.938735877055719e-39
3,40,4,1,2,1024,691,8,8388608,2.7896785929189782e-05,7.960748684300802e-16,0,2.938735877055719e-39
3,46,4,1,2,1024,690,8,8388608,2.8400415458204083e-05,7.960748684300802e-16,0,2.938735877055719e-39
3,50,4,1,2,1024,689,8,67108864,2.89131371709251e-05,7.960748684300802e-16,0,2.938735877055719e-39
3,55,4,1,2,1024,688,8,67108864,2.9435115211430855e-05,7.960748684300802e-16,0,2.938735877055719e-39
3,61,4,1,2,1024,687,8,67108864,2.9966516687143622e-05,7.960748684300802e-16,0,2.938735877055719e-39
3,65,4,1,2,1024,687,8,8388608,2.9966516687143622e-05,7.960748684300802e-16,0,2.938735877055719e-39
3,70,4,1,2,1024,691,8,16777216,2.7896785929189782e-05,7.960748684300802e-16,0,2.938735877055719e-39
3,76,4,1,2,1024,690,8,33554432,2.8400415458204083e-05,7.960748684300802e-16,0,2.938735877055719e-39
3,80,4,1,2,1024,690,8,33554432,2.8400415458204083e-05,7.960748684300802e-16,0,2.938735877055719e-39
3,85,4,1,2,1024,690,8,33554432,2.8400415458204083e-05,7.960748684300802e-16,0,2.938735877055719e-39
3,91,4,1,2,1024,689,8,33554432,2.89131371709251e-05,7.960748684300802e-16,0,2.938735877055719e-39
3,95,4,1,2,1024,689,8,33554432,2.89131371709251e-05,7.960748684300802e-16,0,2.938735877055719e-39
3,100,4,1,2,1024,688,8,33554432,2.9435115211430855e-05,7.960748684300802e-16,0,2.938735877055719e-39
3,106,4,1,2,1024,688,8,16777216,2.9435115211430855e-05,7.960748684300802e-16,0,2.938735877055719e-39
3,110,4,1,2,1024,687,8,33554432,2.9966516687143622e-05,7.960748684300802e-16,0,2.938735877055719e-39
3,115,4,1,2,1024,687,8,16777216,2.9966516687143622e-05,7.960748684300802e-16,0,2.938735877055719e-39
3,121,4,1,2,1024,696,8,33554432,2.5509476887602405e-05,7.960748684300802e-16,0,2.938735877055719e-39
3,125,4,1,2,1024,695,8,8388608,2.597000756891152e-05,7.960748684300802e-16,0,2.938735877055719e-39
3,130,4,1,2,1024,694,8,8388608,2.6438852356753083e-05,7.960748684300802e-16,0,2.938735877055719e-39
3,136,4,1,2,1024,694,8,33554432,2.6438852356753083e-05,7.960748684300802e-16,0,2.938735877055719e-39
3,140,4,1,2,1024,694,8,33554432,2.6438852356753083e-05,7.960748684300802e-16,0,2.938735877055719e-39
3,145,4,1,2,1024,693,8,33554432,2.6916161348330544e-05,7.960748684300802e-16,0,2.938735877055719e-39
3,151,4,1,2,1024,692,8,33554432,2.7402087350599806e-05,7.960748684300802e-16,0,2.938735877055719e-39
5,6,4,1,2,1024,764,8,4194304,7.556243793521641e-06,7.960748684300802e-16,0,2.938735877055719e-39
5,11,4,1,2,1024,764,8,33554432,7.556243793521641e-06,7.960748684300802e-16,0,2.938735877055719e-39
5,16,4,1,2,1024,764,8,16777216,7.556243793521641e-06,7.960748684300802e-16,0,2.938735877055719e-39
5,21,4,1,2,1024,764,8,33554432,7.556243793521641e-06,7.960748684300802e-16,0,2.938735877055719e-39
5,26,4,1,2,1024,771,16,8388608,6.666721264746108e-06,7.960748684300802e-16,0,2.938735877055719e-39
