p,nu,l_ks,l_bs,k,N,n,b_ks,b_bs,sigma_lwe,sigma_glwe,timing,p_error
5,31,4,1,2,1024,771,16,67108864,6.666721264746108e-06,7.960748684300802e-16,0,2.938735877055719e-39
5,36,4,1,2,1024,770,16,67108864,6.787077699324559e-06,7.960748684300802e-16,0,2.938735877055719e-39
5,41,4,1,2,1024,769,16,67108864,6.909606966809731e-06,7.960748684300802e-16,0,2.938735877055719e-39
5,46,4,1,2,1024,769,16,8388608,6.909606966809731e-06,7.960748684300802e-16,0,2.938735877055719e-39
5,51,4,1,2,1024,771,16,33554432,6.666721264746108e-06,7.960748684300802e-16,0,2.938735877055719e-39
5,56,4,1,2,1024,771,16,33554432,6.666721264746108e-06,7.960748684300802e-16,0,2.938735877055719e-39
5,61,4,1,2,1024,770,16,33554432,6.787077699324559e-06,7.960748684300802e-16,0,2.938735877055719e-39
5,66,4,1,2,1024,770,16,16777216,6.787077699324559e-06,7.960748684300802e-16,0,2.938735877055719e-39
5,71,4,1,2,1024,770,16,16777216,6.787077699324559e-06,7.960748684300802e-16,0,2.938735877055719e-39
5,76,4,1,2,1024,769,16,33554432,6.909606966809731e-06,7.960748684300802e-16,0,2.938735877055719e-39
5,81,4,1,2,1024,769,16,33554432,6.909606966809731e-06,7.960748684300802e-16,0,2.938735877055719e-39
5,86,4,1,2,1024,769,16,16777216,6.909606966809731e-06,7.960748684300802e-16,0,2.938735877055719e-39
5,91,4,1,2,1024,778,16,33554432,5.881913505745214e-06,7.960748684300802e-16,0,2.938735877055719e-39
5,96,4,1,2,1024,777,16,33554432,5.988101556803158e-06,7.960748684300802e-16,0,2.938735877055719e-39
5,101,4,1,2,1024,777,16,33554432,5.988101556803158e-06,7.960748684300802e-16,0,2.938735877055719e-39
5,106,4,1,2,1024,776,16,33554432,6.096206654444096e-06,7.960748684300802e-16,0,2.938735877055719e-39
5,111,4,1,2,1024,776,16,16777216,6.096206654444096e-06,7.960748684300802e-16,0,2.938735877055719e-39
5,116,4,1,2,1024,776,16,16777216,6.096206654444096e-06,7.960748684300802e-16,0,2.938735877055719e-39
5,121,4,1,2,1024,785,16,33554432,5.1894934729036335e-06,7.960748684300802e-16,0,2.938735877055719e-39
5,126,4,1,2,1024,784,16,33554432,5.283181045379402e-06,7.960748684300802e-16,0,2.938735877055719e-39
5,131,4,1,2,1024,784,16,16777216,5.283181045379402e-06,7.960748684300802e-16,0,2.938735877055719e-39
5,136,4,1,2,1024,784,16,16777216,5.283181045379402e-06,7.960748684300802e-16,0,2.938735877055719e-39
5,141,4,1,2,1024,783,16,16777216,5.378559989331423e-06,7.960748684300802e-16,0,2.938735877055719e-39
5,146,4,1,2,1024,792,16,33554432,4.5785852646429535e-06,7.960748684300802e-16,0,2.938735877055719e-39
5,151,4,1,2,1024,792,16,16777216,4.5785852646429535e-06,7.960748684300802e-16,0,2.938735877055719e-39
17,5,4,1,1,4096,849,16,33554432,1.6512448356449926e-06,2.168404344971009e-19,0,2.938735877055719e-39
17,10,4,1,1,4096,849,16,134217728,1.6512448356449926e-06,2.168404344971009e-19,0,2.938735877055719e-39
17,15,4,1,1,4096,849,16,2147483648,1.6512448356449926e-06,2.168404344971009e-19,0,2.938735877055719e-39
17,20,4,1,1,4096,849,16,67108864,1.6512448356449926e-06,2.168404344971009e-19,0,2.938735877055719e-39
17,25,4,1,1,4096,849,16,536870912,1.6512448356449926e-06,2.168404344971009e-19,0,2.938735877055719e-39
17,30,4,1,1,4096,849,16,67108864,1.6512448356449926e-06,2.168404344971009e-19,0,2.938735877055719e-39
17,35,4,1,1,4096,849,16,268435456,1.6512448356449926e-06,2.168404344971009e-19,0,2.938735877055719e-39
17,40,4,1,1,4096,849,16,134217728,1.6512448356449926e-06,2.168404344971009e-19,0,2.938735877055719e-39
17,45,4,1,1,4096,849,16,2147483648,1.6512448356449926e-06,2.168404344971009e-19,0,2.938735877055719e-39
17,50,4,1,1,4096,849,16,1073741824,1.6512448356449926e-06,2.168404344971009e-19,0,2.938735877055719e-39
17,55,4,1,1,4096,849,16,536870912,1.6512448356449926e-06,2.168404344971009e-19,0,2.938735877055719e-39
17,60,4,1,1,4096,849,16,134217728,1.6512448356449926e-06,2.168404344971009e-19,0,2.938735877055719e-39
17,65,4,1,1,4096,849,16,536870912,1.6512448356449926e-06,2.168404344971009e-19,0,2.938735877055719e-39
17,70,4,1,1,4096,849,16,2147483648,1.6512448356449926e-06,2.168404344971009e-19,0,2.938735877055719e-39
17,75,4,1,1,4096,849,16,268435456,1.6512448356449926e-06,2.168404344971009e-19,0,2.938735877055719e-39
17,80,4,1,1,4096,849,16,536870912,1.6512448356449926e-06,2.168404344971009e-19,0,2.938735877055719e-39
17,86,4,1,1,4096,849,16,536870912,1.6512448356449926e-06,2.168404344971009e-19,0,2.938735877055719e-39
17,90,4,1,1,4096,849,16,1073741824,1.6512448356449926e-06,2.168404344971009e-19,0,2.938735877055719e-39
17,95,4,1,1,4096,849,16,536870912,1.6512448356449926e-06,2.168404344971009e-19,0,2.938735877055719e-39
17,100,4,1,1,4096,849,16,268435456,1.6512448356449926e-06,2.168404344971009e-19,0,2.938735877055719e-39
17,105,4,1,1,4096,849,16,1073741824,1.6512448356449926e-06,2.168404344971009e-19,0,2.938735877055719e-39
17,110,4,1,1,4096,849,16,2147483648,1.6512448356449926e-06,2.168404344971009e-19,0,2.938735877055719e-39
17,115,4,1,1,4096,849,16,2147483648,1.6512448356449926e-06,2.168404344971009e-19,0,2.938735877055719e-39
17,120,4,1,1,4096,849,16,268435456,1.6512448356449926e-06,2.168404344971009e-19,0,2.938735877055719e-39
17,125,4,1,1,4096,849,16,536870912,1.6512448356449926e-06,2.168404344971009e-19,0,2.938735877055719e-39
17,130,4,1,1,4096,849,16,268435456,1.6512448356449926e-06,2.168404344971009e-19,0,2.938735877055719e-39
17,135,4,1,1,4096,848,16,268435456,1.6810552826611578e-06,2.168404344971009e-19,0,2.938735877055719e-39
17,140,4,1,1,4096,849,16,1073741824,1.6512448356449926e-06,2.168404344971009e-19,0,2.938735877055719e-39
17,145,4,1,1,4096,849,16,2147483648,1.6512448356449926e-06,2.168404344971009e-19,0,2.938735877055719e-39
17,150,4,1,1,4096,849,16,2147483648,1.6512448356449926e-06,2.168404344971009e-19,0,2.938735877055719e-39
